Author	n (strains)	publication title	journal	publication URL	strains
Mak TM et al	47	unknown	unknown	unknown	Singapore/165/2020,Singapore/15/2020,Singapore/20/2020,Singapore/466/2020,Singapore/175/2020,Singapore/36/2020,Singapore/35/2020,Singapore/516/2020,Singapore/394/2020,Singapore/970/2020,Singapore/159/2020,Singapore/3Clin/2020,Singapore/239/2020,Singapore/680/2020,Singapore/673/2020,Singapore/910/2020,Singapore/904/2020,Singapore/890/2020,Singapore/858/2020,Singapore/860/2020,Singapore/684/2020,Singapore/687/2020,Singapore/691/2020,Singapore/628/2020,Singapore/814/2020,Singapore/853/2020,Singapore/903/2020,Singapore/864/2020,Singapore/865/2020,Singapore/880/2020,Singapore/879/2020,Singapore/891/2020,Singapore/889/2020,Singapore/644/2020,Singapore/666/2020,Singapore/795/2020,Singapore/698/2020,Singapore/607/2020,Singapore/870/2020,Singapore/675/2020,Singapore/216/2020,Singapore/280/2020,Singapore/49/2020,Singapore/295/2020,Singapore/968/2020,Singapore/963/2020,Singapore/358/2020
Cherng-Lih Perng et al	11	unknown	unknown	unknown	Taiwan/TSGH-37/2020,Taiwan/TSGH-34/2020,Taiwan/TSGH-35/2020,Taiwan/TSGH-27/2020,Taiwan/TSGH-31/2020,Taiwan/TSGH-01/2020,Taiwan/TSGH-36/2020,Taiwan/TSGH-23/2020,Taiwan/TSGH-24/2020,Taiwan/TSGH-03/2020,Taiwan/TSGH-05/2020
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	Wuhan/WH01/2019
Rockett R et al	3	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW02/2020,Australia/NSW10/2020,Australia/NSW08/2020
Clinton R. Paden et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/MA1/2020
To et al	6	unknown	unknown	unknown	HongKong/HKU-915a/2020,HongKong/HKU-902b/2020,HongKong/HKU-902a/2020,HongKong/HKU-911a/2020,HongKong/HKU-908a/2020,HongKong/HKU-908b/2020
Tsuyoshi Sekizuka et al A	6	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	Japan/PG-0016/2020,Japan/PG-0015/2020,Japan/PG-0351/2020,Japan/PG-0523/2020,Japan/PG-0357/2020,Japan/PG-0424/2020
Yoong Min CHONG et al	10	unknown	unknown	unknown	Malaysia/6359/2020,Malaysia/9886/2020,Malaysia/0956/2020,Malaysia/8454/2020,Malaysia/7618/2020,Malaysia/0784/2020,Malaysia/9593/2020,Malaysia/3097/2020,Malaysia/5056/2020,Malaysia/0121/2020
Suppiah.J et al	6	unknown	unknown	unknown	Malaysia/IMR_WC1177/2020,Malaysia/IMR_WC085/2020,Malaysia/IMR_WC627/2020,Malaysia/IMR_WC1097/2020,Malaysia/IMR_WC1098/2020,Malaysia/IMR_WC1170/2020
Potdar V et al A	2	Full-genome sequences of the first two SARS-CoV-2 viruses from India	unknown	https://dx.doi.org/10.4103/ijmr.IJMR_663_20	India/MH-1-27/2020,India/MH-1-31/2020
