Author	n (strains)	publication title	journal	publication URL	strains
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	Wuhan/WH01/2019
Cherng-Lih Perng et al	11	unknown	unknown	unknown	Taiwan/TSGH-37/2020,Taiwan/TSGH-34/2020,Taiwan/TSGH-35/2020,Taiwan/TSGH-27/2020,Taiwan/TSGH-31/2020,Taiwan/TSGH-01/2020,Taiwan/TSGH-36/2020,Taiwan/TSGH-24/2020,Taiwan/TSGH-05/2020,Taiwan/TSGH-03/2020,Taiwan/TSGH-23/2020
Mak TM et al	44	unknown	unknown	unknown	Singapore/165/2020,Singapore/15/2020,Singapore/20/2020,Singapore/466/2020,Singapore/36/2020,Singapore/35/2020,Singapore/516/2020,Singapore/159/2020,Singapore/394/2020,Singapore/970/2020,Singapore/3Clin/2020,Singapore/607/2020,Singapore/860/2020,Singapore/684/2020,Singapore/628/2020,Singapore/853/2020,Singapore/644/2020,Singapore/795/2020,Singapore/865/2020,Singapore/864/2020,Singapore/903/2020,Singapore/880/2020,Singapore/879/2020,Singapore/891/2020,Singapore/889/2020,Singapore/239/2020,Singapore/675/2020,Singapore/680/2020,Singapore/910/2020,Singapore/175/2020,Singapore/358/2020,Singapore/49/2020,Singapore/295/2020,Singapore/828/2020,Singapore/893/2020,Singapore/823/2020,Singapore/803/2020,Singapore/804/2020,Singapore/888/2020,Singapore/688/2020,Singapore/800/2020,Singapore/799/2020,Singapore/878/2020,Singapore/901/2020
Potdar V et al A	2	Full-genome sequences of the first two SARS-CoV-2 viruses from India	unknown	https://dx.doi.org/10.4103/ijmr.IJMR_663_20	India/MH-1-27/2020,India/MH-1-31/2020
Jing Zhang et al A	2	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/WI1/2020,USA/CA-CDC-6/2020
Caly L. et al A	17	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	Australia/VIC14/2020,Australia/VIC07/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC174/2020,Australia/VIC652/2020,Australia/VIC870/2020,Australia/VIC1025/2020,Australia/VIC884/2020,Australia/VIC853/2020,Australia/VIC843/2020,Australia/VIC860/2020,Australia/VIC238/2020,Australia/VIC250/2020,Australia/VIC190/2020,Australia/VIC458/2020,Australia/VIC606/2020
Chen YYC et al	26	unknown	unknown	unknown	Singapore/470/2020,Singapore/469/2020,Singapore/36nan/2020,Singapore/17nan/2020,Singapore/1135/2020,Singapore/1172/2020,Singapore/1173/2020,Singapore/1165/2020,Singapore/34nan/2020,Singapore/1154/2020,Singapore/914/2020,Singapore/159nan/2020,Singapore/1260/2020,Singapore/1287/2020,Singapore/1249/2020,Singapore/1264/2020,Singapore/1269/2020,Singapore/1274/2020,Singapore/1338/2020,Singapore/1385/2020,Singapore/1350/2020,Singapore/1189/2020,Singapore/1149/2020,Singapore/1208/2020,Singapore/268nan/2020,Singapore/947/2020
Iglesias-Caballero et al A	41	unknown	unknown	unknown	Spain/AN-ISCIII-2013382/2020,Spain/RI-ISCIII-201277/2020,Spain/PV-ISCIII-201388/2020,Spain/MD-ISCIII-201091/2020,Spain/AN-ISCIII-2013675/2020,Spain/AN-ISCIII-2013676/2020,Spain/EX-ISCIII-201247/2020,Spain/EX-ISCIII-201258/2020,Spain/EX-ISCIII-201259/2020,Spain/ML-ISCIII-202058922/2020,Spain/ML-ISCIII-202058868/2020,Spain/ML-ISCIII-2013689/2020,Spain/CT-ISCIII-2013591/2020,Spain/CT-ISCIII-2013592/2020,Spain/GA-ISCIII-2017305/2020,Spain/CT-ISCIII-202043/2020,Andorra/202552/2020,Spain/CE-ISCIII-2016504/2020,Spain/CE-ISCIII-2016513/2020,Spain/CT-ISCIII-2016659/2020,Spain/CT-ISCIII-2016664/2020,Spain/CT-ISCIII-2016663/2020,Spain/GA-ISCIII-2017323/2020,Spain/CE-ISCIII-2016496/2020,Spain/MD_ISCIII-2014663/2020,Spain/MD-ISCIII-2014599/2020,Spain/MD-ISCIII-2014669/2020,Spain/MD-ISCIII-2014617/2020,Spain/MD-ISCIII-2014632/2020,Spain/MD-ISCIII-2014625/2020,Spain/MD-ISCIII-2014662/2020,Spain/MD-ISCIII-2014657/2020,Spain/MD-ISCIII-2014667/2020,Spain/MD-ISCIII-2014660/2020,Spain/MD-ISCIII-2014703/2020,Spain/MD-ISCIII-2014936/2020,Spain/MD-ISCIII-2014830/2020,Spain/MD-ISCIII-2014825/2020,Spain/CT-ISCIII-2017687/2020,Spain/CE-ISCIII-203367/2020,Spain/CE-ISCIII-205119/2020
Monica Galiano et al	10	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	England/01/2020,England/02/2020,England/200690300/2020,England/200690306/2020,England/200690756/2020,England/200690245/2020,England/200641094/2020,England/20104035803/2020,England/20099038206/2020,England/20139057704/2020
Mee et al	1	unknown	unknown	unknown	England/2/2020
