strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Singapore/165/2020	EPI_ISL_462283	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Taiwan/TSGH-37/2020	EPI_ISL_457733	TSGH-CP molecular lab		Cherng-Lih Perng et al																	
Wuhan/WH01/2019	EPI_ISL_406798	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"		Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)																	
Australia/NSW02/2020	EPI_ISL_408976	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)		Asia															
USA/MA1/2020	EPI_ISL_409067	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Clinton R. Paden et al (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia															
HongKong/HKU-915a/2020	EPI_ISL_450411	Microbiology		To et al																	
Japan/PG-0016/2020	EPI_ISL_479800	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)																	
Japan/PG-0015/2020	EPI_ISL_479799	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)																	
Malaysia/6359/2020	EPI_ISL_501220	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al																	
Malaysia/IMR_WC1177/2020	EPI_ISL_430439	"Institute for Medical Research Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah.J et al																	
India/MH-1-27/2020	EPI_ISL_413522	"National Influenza Center, Indian Council of Medical Research - National Institute of Virology"		Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)																	
USA/WI1/2020	EPI_ISL_408670	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia															
Australia/VIC14/2020	EPI_ISL_419734	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
UnitedArabEmirates/L4280/2020	EPI_ISL_435134	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)																	
Japan/KY-V-029/2020	EPI_ISL_408669	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
UnitedArabEmirates/skmc-0381517/2020	EPI_ISL_582609	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
Australia/QLDID922/2020	EPI_ISL_418799	Public Health Virology Laboratory		Bixing Huang et al																	
UnitedArabEmirates/skmc-004/2020	EPI_ISL_582613	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-008/2020	EPI_ISL_582617	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-007/2020	EPI_ISL_582616	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
