strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Wuhan/WH01/2019	EPI_ISL_406798	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"		Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)														
Taiwan/TSGH-37/2020	EPI_ISL_457733	TSGH-CP molecular lab		Cherng-Lih Perng et al														
Singapore/165/2020	EPI_ISL_462283	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
India/MH-1-27/2020	EPI_ISL_413522	"National Influenza Center, Indian Council of Medical Research - National Institute of Virology"		Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)														
USA/WI1/2020	EPI_ISL_408670	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia												
Australia/VIC14/2020	EPI_ISL_419734	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)														
Singapore/470/2020	EPI_ISL_477170	Department of Laboratory Medicine Tan Tock Seng Hospital		Chen YYC et al														
Singapore/469/2020	EPI_ISL_476795	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Singapore/15/2020	EPI_ISL_418996	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Spain/AN-ISCIII-2013382/2020	EPI_ISL_578186	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
India/MH-1-31/2020	EPI_ISL_413523	"National Influenza Center, Indian Council of Medical Research-National Institute of Virology"		Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)														
England/01/2020	EPI_ISL_407071	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)		Asia												
England/02/2020	EPI_ISL_407073	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)		Asia												
England/2/2020	EPI_ISL_610245	"Virology, National Institute for Biological Standards and Control"		Mee et al														
SouthKorea/KCDC2061/2020	EPI_ISL_497962	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
SouthKorea/KCDC05/2020	EPI_ISL_412869	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)														
SouthKorea/KCDC2002/2020	EPI_ISL_425118	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
SouthKorea/KCDC07/2020	EPI_ISL_412871	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
SouthKorea/KCDC2062/2020	EPI_ISL_497963	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
SouthKorea/KCDC03/2020	EPI_ISL_407193	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases		Jeong-Min Kim et al C														
SouthKorea/KUMC04/2020	EPI_ISL_413514	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"		Changmin Kang et al														
SouthKorea/KCDC06/2020	EPI_ISL_412870	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
Vietnam/CM99/2020	EPI_ISL_416429	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al														
Vietnam/38142/2020	EPI_ISL_416427	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al														
Vietnam/VR03-38142/2020	EPI_ISL_408668	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)		Ung Thi Hong Trang et al														
Vietnam/38238/2020	EPI_ISL_660541	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al														
